id,county_id,calendar_year,base_estimate,population_estimate,population_change,births,deaths,natural_change,international_migration,domestic_migration,net_migration,residual,gq_base_estimate,gq_estimate
9804,10852,2020,45883,45967,84,118,86,,1,50,51,1,3401,3401
9805,10853,2020,157346,157104,-242,460,533,,0,-168,-168,-1,6788,6788
9806,10854,2020,18636,18645,9,61,52,,0,1,1,-1,164,164
9807,10855,2020,95240,95315,75,225,250,,3,100,103,-3,1159,1159
9808,10856,2020,13889,13884,-5,50,20,,0,-36,-36,1,16,16
9809,10857,2020,482204,482738,534,1525,595,,59,-496,-437,41,2932,2932
9810,10858,2020,10563,10520,-43,27,35,,-1,-33,-34,-1,296,296
9811,10859,2020,31247,31264,17,113,98,,-1,2,1,1,299,299
9812,10860,2020,81575,81932,357,268,173,,1,255,256,6,1157,1157
9813,10861,2020,49488,49468,-20,75,174,,0,87,87,-8,200,200
9814,10862,2020,247726,249424,1698,536,378,,0,1529,1529,11,1086,1086
9815,10863,2020,7470,7446,-24,22,31,,0,-14,-14,-1,186,186
9816,10864,2020,231767,233140,1373,527,661,,-1,1516,1515,-8,2177,2177
9817,10865,2020,8047,8041,-6,15,39,,0,20,20,-2,110,110
9818,10867,2020,12027,12024,-3,34,45,,0,9,9,-1,163,163
9819,10868,2020,21275,21247,-28,80,77,,0,-31,-31,0,1455,1455
9820,10869,2020,71780,71802,22,172,213,,0,65,65,-2,542,542
9821,10870,2020,42130,42007,-123,131,172,,-1,-80,-81,-1,766,766
9822,10871,2020,58896,58832,-64,159,184,,0,-37,-37,-2,824,824
9823,10873,2020,29456,29418,-38,50,101,,1,16,17,-4,951,951
9824,10874,2020,73298,73201,-97,180,162,,-1,-109,-110,-5,1077,1077
9825,10876,2020,1377,1374,-3,2,4,,0,-1,-1,0,0,0
9826,10877,2020,66553,66455,-98,180,261,,2,-17,-15,-2,2627,2627
9827,10878,2020,11208,11142,-66,27,49,,0,-43,-43,-1,1480,1480
9828,10881,2020,155932,155874,-58,423,470,,0,-4,-4,-7,2539,2539
9829,10882,2020,478971,480126,1155,1283,1401,,0,1267,1267,6,12239,12239
9830,10883,2020,24971,24958,-13,55,114,,0,49,49,-3,181,181
9831,10885,2020,1893,1891,-2,4,9,,0,2,2,1,24,24
9832,10886,2020,10981,11001,20,30,48,,0,38,38,0,235,235
9833,10887,2020,128610,128936,326,380,401,,-1,352,351,-4,1000,1000
9834,10888,2020,33073,33063,-10,88,135,,0,38,38,-1,182,182
9835,10890,2020,83246,83116,-130,196,264,,0,-57,-57,-5,4795,4795
